N,n_win,mean_C_N,CI95_low,CI95_high,std_dev
5,49998,0.8026779348478946,0.8020280747073587,0.8033277949884305,0.07413787689725691
10,19998,0.9003266516193414,0.8997983735246387,0.9008549297140442,0.03811534134679183
20,9998,0.9497470670184469,0.949369435211634,0.9501246988252599,0.019265002129791396
50,3998,0.979966467658635,0.9797177931693427,0.9802151421479274,0.00802225676649884
100,1998,0.9898618631507807,0.9896873971156491,0.9900363291859123,0.003978804148701271
